date,Thgt,Tper,Tdir
2014-01-15 00:00:00,1.4799999666666668,12.345678999999999,224.0
2014-01-15 03:00:00,1.4266666333333333,12.345678999999999,224.0
2014-01-15 06:00:00,1.39,12.049358333333332,223.0
2014-01-15 09:00:00,1.3733333333333333,11.858076000000002,223.0
2014-01-15 12:00:00,1.37,11.764705999999999,224.0
2014-01-15 15:00:00,1.3766666666666667,12.409347000000002,220.33333333333334
2014-01-15 18:00:00,1.3933333333333333,13.575218999999999,213.0
2014-01-15 21:00:00,1.41,13.334913666666667,213.0
2014-01-16 00:00:00,1.4333333,12.766417666666667,213.0
2014-01-16 03:00:00,1.4566665666666665,12.552741666666668,213.0
2014-01-16 06:00:00,1.49,12.346933333333332,213.33333333333334
2014-01-16 09:00:00,1.5166666666666668,11.952571333333333,214.0
2014-01-16 12:00:00,1.5433333333333337,11.858076000000002,213.33333333333334
2014-01-16 15:00:00,1.5899999333333332,11.764705999999999,213.0
2014-01-16 18:00:00,1.6699999666666665,11.764705999999999,212.66666666666666
2014-01-16 21:00:00,1.7633333333333334,11.627907,211.33333333333334
2014-01-17 00:00:00,1.8466666,11.494251999999998,210.0
2014-01-17 03:00:00,1.8966666666666665,11.407174,209.0
2014-01-17 06:00:00,1.9366666,11.194340333333335,208.0
2014-01-17 09:00:00,2.0133332999999998,12.962962666666664,202.0
2014-01-17 12:00:00,2.169999933333333,16.396379999999997,192.0
2014-01-17 15:00:00,2.363333266666667,15.707671,192.0
2014-01-17 18:00:00,2.5233333333333334,15.229214666666666,192.66666666666666
2014-01-17 21:00:00,2.6166666333333333,14.708001999999999,192.66666666666666
2014-01-18 00:00:00,2.6533332,14.354726666666666,194.33333333333334
2014-01-18 03:00:00,2.6599998,14.019300666666666,194.66666666666666
2014-01-18 06:00:00,2.6566665,13.636924,195.33333333333334
2014-01-18 09:00:00,2.6399999,13.393393333333334,196.66666666666666
2014-01-18 12:00:00,2.61,13.216373666666668,197.33333333333334
2014-01-18 15:00:00,2.5633333333333335,12.876012666666666,195.0
2014-01-18 18:00:00,2.5033333333333334,12.605484333333335,196.0
2014-01-18 21:00:00,2.439999933333333,12.499999,196.33333333333334
2014-01-19 00:00:00,2.3699999666666667,12.345678999999999,197.0
2014-01-19 03:00:00,2.32,12.049358333333332,194.33333333333334
2014-01-19 06:00:00,2.26,11.811391,195.0
2014-01-19 09:00:00,2.2066666666666666,11.673506666666668,195.66666666666666
2014-01-19 12:00:00,2.1499998666666666,11.583355333333335,196.66666666666666
2014-01-19 15:00:00,2.0966666666666667,11.322054,192.66666666666666
2014-01-19 18:00:00,2.0533333333333332,11.070410666666666,193.66666666666666
2014-01-19 21:00:00,2.0066666666666664,10.98901,194.66666666666666
2014-01-20 00:00:00,1.9699998999999997,10.869564000000002,196.66666666666666
2014-01-20 03:00:00,1.9599999,10.714557,196.33333333333334
2014-01-20 06:00:00,1.9699999000000001,11.811911333333333,195.0
2014-01-20 09:00:00,1.9833332666666665,14.287657666666668,199.66666666666666
2014-01-20 12:00:00,1.9799999,13.700343666666667,202.0
2014-01-20 15:00:00,1.9699998999999997,13.453453666666666,202.0
2014-01-20 18:00:00,1.9499999,12.988472999999999,203.0
2014-01-20 21:00:00,1.93,12.605484333333335,204.0
2014-01-21 00:00:00,1.9766665999999997,12.397118999999998,205.0
2014-01-21 03:00:00,2.129999966666667,12.196331,206.0
2014-01-21 06:00:00,2.3733333333333335,11.811391,206.33333333333334
2014-01-21 09:00:00,2.6666665999999997,13.173881666666666,203.66666666666666
2014-01-21 12:00:00,2.956666666666667,15.958354,196.0
2014-01-21 15:00:00,3.1799999333333333,15.544870666666668,196.66666666666666
2014-01-21 18:00:00,3.3066666666666666,15.306914333333333,197.33333333333334
2014-01-21 21:00:00,3.356666666666667,15.151514999999998,198.33333333333334
2014-01-22 00:00:00,3.3933332000000003,14.779044999999998,198.66666666666666
2014-01-22 03:00:00,3.436666466666667,14.492752000000001,199.66666666666666
2014-01-22 06:00:00,3.4599999999999995,14.285714,200.66666666666666
2014-01-22 09:00:00,3.4299998333333335,14.151576,202.33333333333334
2014-01-22 12:00:00,3.3533333000000005,13.954094333333332,202.66666666666666
2014-01-22 15:00:00,3.27,13.698629000000002,203.0
2014-01-22 18:00:00,3.1933331999999996,13.636924,204.33333333333334
2014-01-22 21:00:00,3.1199999666666667,14.137214,208.33333333333334
2014-01-23 00:00:00,3.06,15.384614,215.0
2014-01-23 03:00:00,3.01,15.229214666666666,216.0
2014-01-23 06:00:00,2.949999933333333,15.151514999999998,216.66666666666666
2014-01-23 09:00:00,2.8799999,14.852209,215.66666666666666
2014-01-23 12:00:00,2.7966666666666664,14.492752000000001,215.66666666666666
2014-01-23 15:00:00,2.7133333333333334,14.492752000000001,216.33333333333334
2014-01-23 18:00:00,2.6299999,14.354726666666666,217.0
2014-01-23 21:00:00,2.5466666666666664,14.285714,218.0
2014-01-24 00:00:00,2.466666666666667,14.285714,218.66666666666666
2014-01-24 03:00:00,2.386666566666667,14.285714,219.0
2014-01-24 06:00:00,2.3033333333333332,14.285714,219.66666666666666
2014-01-24 09:00:00,2.22,14.285714,220.0
2014-01-24 12:00:00,2.1399999,14.084507,220.0
2014-01-24 15:00:00,2.0566666666666666,14.019300666666666,220.33333333333334
2014-01-24 18:00:00,1.9733332666666665,13.636924,219.0
2014-01-24 21:00:00,1.8933333333333333,13.513514,219.33333333333334
2014-01-25 00:00:00,1.8266666,13.393393333333334,220.0
2014-01-25 03:00:00,1.7733333333333334,13.333333000000001,220.0
