date,swh,perpw,dirpw
2011-01-01 00:00:00,2.8733333,12.878878,199.33333333333334
2011-01-01 03:00:00,2.9399998666666662,12.552741666666668,200.0
2011-01-01 06:00:00,2.859999966666667,12.345678999999999,200.0
2011-01-01 09:00:00,2.763333333333333,12.295493333333333,198.66666666666666
2011-01-01 12:00:00,2.6699999,11.905886333333333,196.66666666666666
2011-01-01 15:00:00,2.6033333333333335,11.673506666666668,197.33333333333334
2011-01-01 18:00:00,2.5533333333333332,11.583355333333335,198.33333333333334
2011-01-01 21:00:00,2.5033333333333334,11.450713,199.33333333333334
2011-01-02 00:00:00,2.49,11.112025333333333,202.33333333333334
2011-01-02 03:00:00,2.6499998666666666,10.830605,205.0
2011-01-02 06:00:00,2.6199999666666667,10.752687,207.0
2011-01-02 09:00:00,2.5966666666666667,10.639099666666667,209.0
2011-01-02 12:00:00,2.5566666666666666,10.417420166666666,211.66666666666666
2011-01-02 15:00:00,2.486666666666667,10.2391475,217.0
2011-01-02 18:00:00,2.4066665,10.204082,223.0
2011-01-02 21:00:00,2.33,10.135366666666664,228.66666666666666
2011-01-03 00:00:00,2.27,10.101009,233.33333333333334
2011-01-03 03:00:00,2.4566666333333336,10.033669666666666,239.0
2011-01-03 06:00:00,2.3266666666666667,9.966996666666667,238.0
2011-01-03 09:00:00,2.23,9.836277333333335,238.33333333333334
2011-01-03 12:00:00,2.153333266666667,9.740465,240.33333333333334
2011-01-03 15:00:00,2.09,9.677619333333332,242.66666666666666
2011-01-03 18:00:00,2.0399999999999996,9.615384,245.0
2011-01-03 21:00:00,1.9899999666666666,9.615384,248.0
2011-01-04 00:00:00,1.9433332666666665,9.523809,251.0
2011-01-04 03:00:00,2.0433333333333334,9.463911000000001,255.66666666666666
2011-01-04 06:00:00,1.9566666,9.404572666666667,257.3333333333333
2011-01-04 09:00:00,1.89,9.230943333333334,244.0
2011-01-04 12:00:00,1.8366665666666666,9.118709333333333,245.66666666666666
2011-01-04 15:00:00,1.7866666666666664,9.063608,247.33333333333334
2011-01-04 18:00:00,1.7433333333333334,9.009008,248.33333333333334
2011-01-04 21:00:00,1.703333233333333,9.009008,249.33333333333334
2011-01-05 00:00:00,1.67,8.928571,250.33333333333334
2011-01-05 03:00:00,1.7866666333333334,8.875895000000002,255.66666666666666
2011-01-05 06:00:00,1.7199999333333331,8.823681,256.0
2011-01-05 09:00:00,1.67,8.746503333333335,251.66666666666666
2011-01-05 12:00:00,1.6733333000000001,8.695652,244.66666666666666
2011-01-05 15:00:00,1.7499999666666666,13.918586666666668,213.0
2011-01-05 18:00:00,1.9099999333333333,15.875682,197.66666666666666
2011-01-05 21:00:00,2.1066666,15.229214666666666,198.0
2011-01-06 00:00:00,2.283333333333333,14.634838,199.33333333333334
2011-01-06 03:00:00,2.3999999,14.086369666666668,199.33333333333334
2011-01-06 06:00:00,2.47,13.575218999999999,201.0
2011-01-06 09:00:00,2.51,13.274853333333333,201.66666666666666
2011-01-06 12:00:00,2.52,12.876012666666666,202.0
2011-01-06 15:00:00,2.5233333333333334,12.605484333333335,202.66666666666666
2011-01-06 18:00:00,2.4966666666666666,12.499999,203.33333333333334
2011-01-06 21:00:00,2.4199999,12.345678999999999,204.0
2011-01-07 00:00:00,2.3233333333333333,12.049358333333332,203.33333333333334
2011-01-07 03:00:00,2.493333333333333,11.764705999999999,204.33333333333334
2011-01-07 06:00:00,2.3899999,11.719106333333334,205.0
2011-01-07 09:00:00,2.2899999999999996,11.583355333333335,205.0
2011-01-07 12:00:00,2.199999933333333,11.364613999999998,204.66666666666666
2011-01-07 15:00:00,2.1233333,11.152725666666667,205.0
2011-01-07 18:00:00,2.06,11.070410666666666,205.0
2011-01-07 21:00:00,1.9899999666666666,10.98901,205.0
2011-01-08 00:00:00,1.9299999666666665,10.869564000000002,204.66666666666666
2011-01-08 03:00:00,1.9799999333333334,10.791646,204.0
2011-01-08 06:00:00,1.9766665666666665,10.489765666666667,204.0
2011-01-08 09:00:00,1.9933333333333334,10.345074666666667,203.0
2011-01-08 12:00:00,1.9966666666666668,10.3092785,202.33333333333334
2011-01-08 15:00:00,1.9866666333333332,10.204082,201.33333333333334
2011-01-08 18:00:00,1.9599999,10.169724333333333,199.66666666666666
2011-01-08 21:00:00,1.92,10.000666333333333,196.66666666666666
2011-01-09 00:00:00,1.8933333333333333,9.803921,193.66666666666666
2011-01-09 03:00:00,2.0833333333333335,9.708737,194.33333333333334
2011-01-09 06:00:00,2.08,9.615384,192.0
2011-01-09 09:00:00,2.0833333333333335,9.584859,190.0
2011-01-09 12:00:00,2.1099999666666664,9.523809,188.0
2011-01-09 15:00:00,2.1766666333333338,9.404572666666667,187.0
2011-01-09 18:00:00,2.2566666666666664,9.288103999999999,182.0
2011-01-09 21:00:00,2.313333333333333,9.174312,182.66666666666666
2011-01-10 00:00:00,2.3566666666666665,9.174312,183.0
2011-01-10 03:00:00,2.4833333333333334,11.748119666666668,195.33333333333334
2011-01-10 06:00:00,2.5066666666666664,13.043972666666667,203.0
2011-01-10 09:00:00,2.516666666666666,12.820513,203.0
2011-01-10 12:00:00,2.52,12.820513,203.33333333333334
2011-01-10 15:00:00,2.5233333333333334,13.339658,206.66666666666666
2011-01-10 18:00:00,2.5366666666666666,13.698629000000002,208.66666666666666
2011-01-10 21:00:00,2.54,13.636924,209.0
2011-01-11 00:00:00,2.52,13.393393333333334,210.0
2011-01-11 03:00:00,2.69,13.157894,210.33333333333334
2011-01-11 06:00:00,2.6533332,13.216373666666668,211.0
